,genes,proteins
242,ENSMUSG00000068739,"['ENSMUSP00000088041', 'ENSMUSP00000099685', 'ENSMUSP00000118676', 'ENSMUSP00000120879']"
243,ENSMUSG00000009545,"['ENSMUSP00000009689', 'ENSMUSP00000139548', 'ENSMUSP00000139700', 'ENSMUSP00000139798', 'ENSMUSP00000140156', 'ENSMUSP00000140673', 'ENSMUSP00000140779']"
244,ENSMUSG00000022982,ENSMUSP00000023707
245,ENSMUSG00000094043,ENSMUSP00000084169
246,ENSMUSG00000094561,ENSMUSP00000100288
247,ENSMUSG00000034990,"['ENSMUSP00000044177', 'ENSMUSP00000125928', 'ENSMUSP00000132951', 'ENSMUSP00000133005', 'ENSMUSP00000146799', 'ENSMUSP00000146993']"
248,ENSMUSG00000072258,ENSMUSP00000142213
249,ENSMUSG00000036658,"['ENSMUSP00000043099', 'ENSMUSP00000146091']"
250,ENSMUSG00000048481,"['ENSMUSP00000058718', 'ENSMUSP00000117357']"
251,ENSMUSG00000015749,"['ENSMUSP00000015893', 'ENSMUSP00000128298', 'ENSMUSP00000128483', 'ENSMUSP00000129931', 'ENSMUSP00000130599', 'ENSMUSP00000131777', 'ENSMUSP00000132357', 'ENSMUSP00000132580', 'ENSMUSP00000142810']"
252,ENSMUSG00000090231,"['ENSMUSP00000025229', 'ENSMUSP00000116497', 'ENSMUSP00000118360', 'ENSMUSP00000118945', 'ENSMUSP00000119977', 'ENSMUSP00000120990', 'ENSMUSP00000135304', 'ENSMUSP00000135660']"
253,ENSMUSG00000041781,ENSMUSP00000047797
254,ENSMUSG00000075598,"['ENSMUSP00000140749', 'ENSMUSP00000141020']"
255,ENSMUSG00000067528,"['ENSMUSP00000085132', 'ENSMUSP00000146552']"
256,ENSMUSG00000109659,"['ENSMUSP00000079489', 'ENSMUSP00000151125']"
257,ENSMUSG00000020130,ENSMUSP00000020339
